id,releasedate,title,genre,budget,revenue,year,has_trailer
93,2001-03-09,15 Minutes,Thriller/Suspense,"$42,000,000","$24,375,436",2001,False
94,2014-05-20,16 Acres,Documentary,,$0,2014,False
95,2006-03-03,16 Blocks,Action,"$45,000,000","$36,895,141",2006,False
96,2011-12-31,16-LOVE,Drama,,$0,2011,False
97,2014-12-31,16 Stones,Adventure,,$0,2014,False
98,2010-09-03,16 to Life,Romantic Comedy,"$1,000,000","$11,574",2010,False
99,2010-12-31,16 Wishes,Comedy,,$0,2010,False
100,2009-04-07,1612,,"$12,000,000",$0,2009,False
101,2011-12-31,1666,Horror,,$0,2011,False
102,2009-04-17,17 Again,Comedy,"$40,000,000","$64,167,069",2009,False
103,2012-09-21,17 filles,Drama,,"$15,002",2012,False
104,2011-12-31,17 Miracles,,,$0,2011,False
105,2001-05-25,1732 Høtten,Thriller/Suspense,,$0,2001,False
106,1972-11-09,1776,Musical,"$4,000,000",$0,1972,False
107,1988-01-01,18 Again!,Comedy,,"$2,567,099",1988,False
108,2003-05-02,18 ans après,Comedy,,"$25,611",2003,False
109,2010-05-21,180 South,,,"$31,745",2010,False
110,2016-12-31,1898. Los últimos de Filipinas,Drama,,$0,2016,False
111,2011-12-31,1906,Drama,,$0,2011,False
112,2015-04-17,1915,Drama,,"$96,682",2015,False
113,1985-04-26,1918,Drama,,$0,1985,False
114,2016-05-06,1920 London,Horror,,$0,2016,False
115,1979-12-14,1941,Comedy,"$32,000,000","$34,175,000",1979,False
116,2015-12-31,1944,Drama,,$0,2015,False
117,2017-10-31,1945,Drama,,$0,2017,False
118,2015-12-31,1965,Drama,,$0,2015,False
119,1988-11-18,1969,Drama,,"$5,979,011",1988,False
120,2016-12-31,1971 Beyond Borders,Action,,$0,2016,False
121,2009-09-01,1981,,,"$753,197",2009,False
122,2016-03-01,1982,Drama,"$1,000,000",$0,2016,False
123,2000-08-18,1999 Cannes Intl. Adv Festival,,,"$6,234",2000,False
124,2013-05-03,1st Night,Documentary,,$0,2013,False
125,2011-06-28,2:13,Horror,"$3,500,000",$0,2011,False
126,2010-12-31,2:22,,,$0,2010,False
127,2017-06-30,2:22,Thriller/Suspense,,$0,2017,False
128,2014-06-06,2 automnes 3 hivers,Drama,,"$5,030",2014,False
129,2014-12-31,2 Bedrooms 1 Bath,Horror,,$0,2014,False
130,2012-08-10,2 Days in New York,Romantic Comedy,,"$633,210",2012,True
131,1996-09-27,2 Days In The Valley,Drama,,"$11,101,856",1996,False
132,2011-12-31,2-Face,Comedy,,$0,2011,False
133,2003-06-06,2 Fast 2 Furious,Action,"$76,000,000","$127,120,058",2003,False
134,2005-10-07,2 For the Money,Drama,"$20,000,000","$22,991,379",2005,False
135,2013-08-02,2 Guns,Action,"$61,000,000","$75,612,460",2013,True
136,2012-12-31,2 Headed Shark Attack,Horror,,$0,2012,False
137,2010-10-25,2 Hot 2 Dance Mix,Concert/Performance,,$0,2010,False
138,2008-10-17,Los 2 lados de la cama,Comedy,,$0,2008,False
139,2000-11-03,"2 Männer, 2 Frauen - 4 Probleme!?",Comedy,,"$14,940",2000,False
140,2010-12-31,2 Million Stupid Women,,,$0,2010,False
141,2006-11-17,2 ou 3 choses que je sais d'elle,Drama,,"$104,038",2006,False
142,2014-04-18,2 States,Drama,,"$2,238,175",2014,False
143,2017-01-24,2 Years of Love,Romantic Comedy,,$0,2017,False
144,2015-12-31,2 Yötä Aamuun,Drama,,$0,2015,False
145,1916-12-24,"20,000 Leagues Under the Sea",Adventure,"$200,000","$8,000,000",1916,False
146,1954-12-23,"20,000 Leagues Under the Sea",Adventure,"$5,000,000","$28,200,000",1954,False
147,2017-12-31,20:16,Drama,,$0,2017,False
148,2010-11-09,20 Anos De Exitos En Vivo,Concert/Performance,,$0,2010,False
149,2006-10-27,20 centiímetros,Comedy,,"$6,635",2006,False
150,1999-02-26,20 Dates,Comedy,"$66,000","$541,636",1999,False
151,2013-06-14,20 Feet From Stardom,Documentary,"$1,000,000","$4,946,250",2013,False
152,2008-12-31,20-seiki shônen,Adventure,,$0,2008,False
153,2013-06-14,200 Cartas,Romantic Comedy,,"$9,338",2013,False
154,1999-02-26,200 Cigarettes,Romantic Comedy,"$6,000,000","$6,852,450",1999,False
155,2006-12-31,200 Pounds Beauty,,,$0,2006,False
156,2014-09-17,"20,000 Days on Earth",Documentary,,"$279,558",2014,False
157,2011-12-31,"20,00 Leagues Under the Sea",Adventure,,$0,2011,False
158,1968-04-02,2001: A Space Odyssey,Adventure,"$10,500,000","$56,700,000",1968,False
159,2010-07-20,2001 Maniacs: Field of Screams,,,$0,2010,False
160,2006-02-24,2005 Academy Award Nominated Short Films,Multiple Genres,,"$157,415",2006,False
161,2007-02-16,2006 Academy Award Nominated Short Films,Multiple Genres,,"$335,090",2007,False
162,2008-02-15,2007 Academy Award Nominated Short Films,Multiple Genres,,"$508,695",2008,False
163,2008-09-30,2008 Olympics: Beijing 2008 Complete Opening Ceremony,,,$0,2008,False
164,2008-09-30,2008 Olympics: Beijing 2008 Highlights – The Games of the XXIX Olympiad,,,$0,2008,False
165,2009-02-06,2009 Oscar Shorts,Multiple Genres,,"$644,635",2009,False
166,1984-12-07,2010,Thriller/Suspense,,"$41,000,000",1984,False
167,2010-02-19,2010 Oscar Shorts,Multiple Genres,,"$1,018,169",2010,False
168,2010-04-13,2010 Winter Olympics,,,$0,2010,False
169,2011-02-11,2011 Oscar Shorts,Multiple Genres,,"$1,352,152",2011,False
170,2009-11-13,2012,Action,"$200,000,000","$166,112,167",2009,True
171,2008-02-12,2012: Doomsday,,,$0,2008,False
172,2011-12-31,2012 Ice Age,,,$0,2011,False
173,2012-02-10,2012 Oscar Shorts,Multiple Genres,,"$1,702,415",2012,False
174,2010-04-09,2012: Time for Change,Documentary,,"$68,339",2010,False
175,2011-12-31,2012 Zombie Apocalypse,Horror,,$0,2011,False
176,2013-07-30,2012 NBA Champions: Miami Heat,Documentary,,$0,2013,False
177,2013-02-01,2013 Oscar Shorts,Multiple Genres,,"$2,142,342",2013,False
178,2013-11-26,2013 World Champions: Boston Red Sox,Documentary,,$0,2013,False
179,2014-07-29,2014 NBA Champions: San Antonio Spurs,Documentary,,$0,2014,False
180,2014-01-31,2014 Oscar Shorts,Multiple Genres,,"$2,357,890",2014,False
181,2015-01-30,2015 Oscar Shorts,Multiple Genres,,"$2,412,493",2015,False
182,2012-07-13,2016: Obama’s America,Documentary,"$2,500,000","$33,349,941",2012,False
183,2016-01-29,2016 Oscar Shorts,Multiple Genres,,"$2,816,816",2016,False
184,2017-10-27,2017 Cloverfield Movie,,,$0,2017,False
185,2017-02-10,2017 Oscar Shorts,Multiple Genres,,"$2,835,355",2017,False
186,2005-08-05,2046,Drama,"$12,000,000","$1,442,338",2005,False
187,2016-12-25,20th Century Women,Drama,,"$5,664,763",2016,True
188,2008-03-21,21,Thriller/Suspense,"$35,000,000","$81,159,365",2008,False
189,2010-12-07,21.00: Eros Live World Tour 2009/2010,Concert/Performance,,$0,2010,False
190,2009-12-31,21 and a Wakeup,,,$0,2009,False
191,2013-03-01,21 and Over,Comedy,"$13,000,000","$25,682,380",2013,True
192,2003-11-21,21 Grams,Drama,"$20,000,000","$16,248,701",2003,False
193,2012-03-16,21 Jump Street,Comedy,"$42,000,000","$138,447,667",2012,True
194,2017-12-31,21 Jump Street Spinoff,Comedy,,$0,2017,False
195,2014-11-07,21 Years: Richard Linklater,Documentary,,$0,2014,False
196,2014-06-13,22 Jump Street,Comedy,"$50,000,000","$191,719,337",2014,True
197,2017-12-31,22 nenme no Kokuhaku: Watashi ga Satsujinhan desu,Drama,,$0,2017,False
198,2011-12-31,23:59,Horror,,$0,2011,False
199,2014-10-24,23 Blast,Drama,"$1,000,000","$549,185",2014,False
200,2016-12-31,24,Action,,$0,2016,False
201,1998-04-15,24 7: Twenty Four Seven,Comedy,"$2,000,000","$72,544",1998,False
202,2009-06-05,24 City,,,"$30,799",2009,False
203,2014-01-24,24 Exposures,Thriller/Suspense,,$0,2014,False
204,2002-08-09,24 Hour Party People,Drama,,"$1,169,030",2002,False
205,1999-01-29,The 24 Hour Woman,Comedy,,"$109,148",1999,False
206,2017-12-31,24 Hours to Live,,,$0,2017,False
207,2015-04-24,24 jours,Thriller/Suspense,,$0,2015,False
208,2011-12-31,24: The Movie,Thriller/Suspense,,$0,2011,False
209,2012-10-23,247 F,Horror,,$0,2012,False
210,2004-05-14,The 24th Day,Drama,,"$14,107",2004,False
211,2015-12-31,25 April,Documentary,,$0,2015,False
212,2016-12-31,25 Kille,Drama,,$0,2016,False
213,2017-12-31,"25,000 Miles to Glory",,,$0,2017,False
214,2002-12-19,25th Hour,Drama,"$4,500,000","$13,084,595",2002,False
215,2008-01-13,27 Dresses,Romantic Comedy,"$30,000,000","$76,808,654",2008,False
216,2000-04-14,28 Days,Comedy,"$43,000,000","$37,035,515",2000,False
217,2003-06-27,28 Days Later…,Horror,"$8,000,000","$45,064,915",2003,False
218,2012-11-09,28 Hotel Rooms,Drama,,"$18,869",2012,False
219,2011-12-31,28 Months Later,Horror,,$0,2011,False
220,2016-12-31,28 panfilovtsev,Drama,,$0,2016,False
221,2007-05-11,28 Weeks Later,Horror,"$15,000,000","$28,638,916",2007,False
222,1991-11-01,29th Street,Comedy,,"$1,287,171",1991,False
223,1999-11-26,2by4,Drama,,"$16,637",1999,False
224,2011-09-16,3,Drama,"$7,200,000","$59,774",2011,False
225,2012-10-12,"3, 2, 1... Frankie Go Boom",Comedy,,$0,2012,False
226,2016-10-11,3-4 x jûgatsu,,,$0,2016,False
227,2007-12-31,3 amis,Comedy,,$0,2007,False
228,2015-06-19,3 and 1/2 Minutes,Documentary,,"$29,725",2015,False
229,2011-03-11,3 Backyards,Drama,"$300,000","$39,475",2011,False
230,2011-12-31,3 Blind Saints,Comedy,,$0,2011,False
231,2015-02-13,3 coeurs,Drama,,"$182,522",2015,False
232,2005-09-30,3 Days of Rain,Drama,,"$2,841",2005,False
233,2014-02-21,3 Days to Kill,Thriller/Suspense,"$28,000,000","$30,697,999",2014,True
234,2013-05-22,3 Geezers,Comedy,,$0,2013,False
235,1986-04-25,3 hommes et un couffin,Comedy,,"$1,634,489",1986,False
236,2017-06-02,3 Idiotas,Comedy,,"$1,239,307",2017,True
237,2009-12-23,3 Idiots,Comedy,,"$6,533,849",2009,False
238,1987-11-25,3 Men and a Baby,Comedy,"$15,000,000","$167,780,960",1987,False
239,1990-11-21,3 Men and a Little Lady,Comedy,,"$71,609,321",1990,False
240,2006-12-01,3 Needles,Drama,,$0,2006,False
241,2015-02-06,3 Nights in the Desert,Drama,,"$1,297",2015,False
242,1992-08-07,3 Ninjas,Action,,"$29,028,000",1992,False
243,1998-04-10,3 Ninjas: High Noon at Mega Mountain,Action,,"$308,082",1998,False
244,1994-05-06,3 Ninjas Kick Back,Action,"$20,000,000","$11,744,960",1994,False
245,1995-04-07,3 Ninjas Knuckle Up,Action,,"$407,618",1995,False
246,2005-07-27,The 3 Rooms of Melancholia,Documentary,,"$16,080",2005,False
247,2000-03-01,3 Strikes,Comedy,"$4,000,000","$9,821,335",2000,False
248,2016-09-16,3 Weeks in Yerevan,,,"$29,245",2016,False
249,2012-07-20,30 Beats,Drama,,"$14,686",2012,False
250,2000-09-15,30 Days,Comedy,,"$13,753",2000,False
251,2007-10-19,30 Days of Night,Horror,"$30,000,000","$39,568,996",2007,False
252,2010-10-05,30 Days of Night: Dark Days,Horror,,$0,2010,False
253,2016-04-08,30 Days with my Brother,Drama,,$0,2016,False
254,2011-08-12,30 Minutes or Less,Comedy,"$28,000,000","$37,053,924",2011,True
255,2013-01-15,30 Nights Of Paranormal Activity With The Devil Inside The Girl With The Dragon Tattoo,,"$3,000,000",$0,2013,False
256,2016-12-31,30 Svidaniy,Comedy,,$0,2016,False
257,2002-06-07,30 Years to Life,Comedy,,"$99,023",2002,False
258,2007-03-09,300,Action,"$60,000,000","$210,614,939",2007,False
259,2014-03-07,300: Rise of an Empire,Action,"$110,000,000","$106,580,051",2014,True
260,2014-02-25,The 300 Spartans,Action,,$0,2014,False
261,2001-02-23,3000 Miles to Graceland,Drama,"$62,000,000","$15,738,632",2001,False
262,2016-09-01,31,Horror,,"$779,820",2016,False
263,2009-12-31,31 North 62 East,Thriller/Suspense,,$0,2009,False
264,2007-09-02,3:10 to Yuma,Western,"$48,000,000","$53,606,916",2007,False
265,2017-12-31,32 Pills: My Sister’s Suicide,Documentary,,$0,2017,False
266,2013-05-17,33 Postcards,Drama,,$0,2013,False
