imdbid,bech-title,bech-rating,imdb-Title,imdb-Year,key
209144,Memento,1,Memento,2000,memento00ento
264734,Joseph: King of Dreams,3,Joseph: King of Dreams,2000,#N/A
195685,Erin Brockovich,3,Erin Brockovich,2000,erinbro00vich
164052,Hollow Man,3,Hollow Man,2000,hollowm00wman
255094,"Circle, The",3,The Circle,2000,circle02rcle
122459,Return to Me,3,Return to Me,2000,returnt00tome
209958,"Cell, The",2,The Cell,2000,cell00cell
215545,Bamboozlee,1,Bamboozled,2000,bambooz00zled
190865,Vertical Limit,1,Vertical Limit,2000,vertica00imit
260991,J.S.A.: Joint Security Area,2,J.S.A.: Joint Security Area,2000,#N/A
190332,"Wo hu cang long (Crouching Tiger, Hidden Dragon)",3,"Crouching Tiger, Hidden Dragon",2000,wohucan00long
260191,Gundam Wing: The Movie - Endless Waltz,3,Gundam Wing: The Movie - Endless Waltz,1998,#N/A
186894,Bounce,2,Bounce,2000,bounce00unce
223897,Pay it Foward,3,Pay It Forward,2000,payitfo00ward
156757,Mad About Mambo,1,Mad About Mambo,2000,madabou00ambo
330500,Ju-on,3,Ju-on: The Curse,2000,ju-on02u-on
218616,Some Voices,2,Some Voices,2000,somevoi00ices
245712,Amores Perros,1,Amores Perros,2000,amoresp00rros
250440,Is It Fall Yet,3,Daria in 'Is It Fall Yet?',2000,#N/A
200809,Life-Size,3,Life-Size,2000,#N/A
120917,"Emperor's New Groove, The",3,The Emperor's New Groove,2000,emperor00oove
210234,Pokemon: The Movie 2000,3,Pokémon: The Movie 2000,1999,#N/A
208185,An Extremely Goofy Movie,1,An Extremely Goofy Movie,2000,#N/A
218839,Best in Show,3,Best in Show,2000,bestins00show
191754,28 Days,3,28 Days,2000,28days00days
235327,Dark Days,0,Dark Days,2000,darkday00days
216216,"6th Day, The",3,The 6th Day,2000,6thday00hday
120913,Titan A.E.,3,Titan A.E.,2000,titana.00a.e.
244870,Spiral,3,Spiral,2000,spirali07rali
120630,Chicken Run,3,Chicken Run,2000,chicken00nrun
199753,Red Planet,0,Red Planet,2000,redplan00anet
217869,Unbreakable,0,Unbreakable,2000,unbreak00able
165929,Romeo Must Die,0,Romeo Must Die,2000,romeomu00tdie
155723,A Good Baby,3,A Good Baby,2000,goodbab00baby
168629,Dancer in the Dark,3,Dancer in the Dark,2000,danceri00dark
212338,Meet the Parents,2,Meet the Parents,2000,meetthe00ents
220099,"Tigger Movie, The",0,The Tigger Movie,2000,tiggerm00ovie
203119,Sexy Beast,2,Sexy Beast,2000,sexybea00east
183523,Mission to Mars,1,Mission to Mars,2000,mission00mars
214641,Dragonheart: A New Beginning,0,Dragonheart: A New Beginning,2000,#N/A
241303,Chocolat,3,Chocolat,2000,chocola00olat
279977,"Navigators, The",1,The Navigators,2001,navigat01tors
277371,Not Another Teen Movie,3,Not Another Teen Movie,2001,notanot01ovie
273300,Jump Tomorrow,3,Jump Tomorrow,2001,jumptom01rrow
261392,Jay and Silent Bob Strike Back,3,Jay and Silent Bob Strike Back,2001,jayands01back
277027,I Am Sam,3,I Am Sam,2001,iamsam01msam
274497,Le fate ignoranti,3,His Secret Life,2001,lefatei01anti
291350,Millennium Actress,2,Millennium Actress,2001,#N/A
243655,Wet Hot American Summer,3,Wet Hot American Summer,2001,wethota01mmer
285742,Monster's Ball,2,Monster's Ball,2001,monster01ball
221218,"Glass House, The",3,The Glass House,2001,glassho01ouse
120737,"Lord of the Rings: The Fellowship of the Ring, The",1,The Lord of the Rings: The Fellowship of the Ring,2001,lordoft01ring
312687,La fille de Keltoum,3,Daughter of Keltoum,2001,lafille01toum
181739,Osmosis Jones,3,Osmosis Jones,2001,osmosis01ones
196229,Zoolander,3,Zoolander,2001,zooland01nder
214529,"Belphegor, Phantom of the Louvre (Belphegor - Le fantome du Louvre)",3,Belphegor: Phantom of the Louvre,2001,belphég01uvre
265116,Caos,3,Chaos,2001,chaos01haos
203009,Moulin Rouge!,3,Moulin Rouge!,2001,moulinr01uge!
299937,Go,2,Go,2001,go01go
250687,Rat Race,3,Rat Race,2001,ratrace01race
240462,Dr. Dolittle 2,3,Dr. Dolittle 2,2001,dr.doli01tle2
230011,Atlantis: The Lost Empire,1,Atlantis: The Lost Empire,2001,atlanti01pire
265666,"Royal Tenenbaums, The",3,The Royal Tenenbaums,2001,royalte01aums
183790,A Knight's Tale,2,A Knight's Tale,2001,knight'01tale
277925,"Hidden Half (Nimeh-ye penhan), The",3,The Hidden Half,2001,nimeh-y01nhan
196069,Samsara,0,Samsara,2001,samsara01sara
233841,Baran,0,Baran,2001,baran01aran
206275,Save the Last Dance,3,Save the Last Dance,2001,savethe01ance
164334,Along Came A Spider,3,Along Came a Spider,2001,alongca01ider
300657,Wied?min (The Hexer),3,The Hexer,2001,wiedzmi01zmin
263467,In the Time of the Butterflies,3,In the Time of the Butterflies,2001,#N/A
276613,Waiting For Godot,0,Waiting for Godot,2001,waiting01odot
278488,How High,1,How High,2001,howhigh01high
246278,"Yes, But...",3,"Oui, mais...",2001,"oui,mai01s..."
272152,K-PAX,1,K-PAX,2001,k-pax01-pax
265632,Recess: School's Out,3,Recess: School's Out,2001,recess:01sout
218817,Antitrust,2,Antitrust,2001,antitru01rust
253126,High Heels and Low Lifes,3,High Heels and Low Lifes,2001,highhee01ifes
258273,Lovely and Amazing,3,Lovely & Amazing,2001,lovely&01zing
265343,Monsoon Wedding,3,Monsoon Wedding,2001,monsoon01ding
213149,Pearl Harbor,2,Pearl Harbor,2001,pearlha01rbor
263488,Jeepers Creepers,3,Jeepers Creepers,2001,jeepers01pers
245674,Thir13en Ghosts,1,Thir13en Ghosts,2001,thir13e01osts
172543,He Died with a Felafel in His Hand,3,He Died with a Felafel in His Hand,2001,hediedw01hand
200027,Riding in Cars with Boys,3,Riding in Cars with Boys,2001,ridingi01boys
139654,Training Day,1,Training Day,2001,trainin01gday
267804,"One, The",0,The One,2001,one01one
295671,L'uomo in più,1,One Man Up,2001,l'uomoi01npiù
245238,Lost and Delirious,3,Lost and Delirious,2001,lostand01ious
243255,Fat Girl,3,Fat Girl,2001,fatgirl06irls
35423,Kate & Leopold,2,Kate & Leopold,2001,kate&le01pold
125022,Heartbreakers,3,Heartbreakers,2001,heartbr01kers
265086,Black Hawk Down,0,Black Hawk Down,2001,blackha01down
244297,War Bride,3,War Bride,2001,warbrid01ride
228333,Ghosts of Mars,3,Ghosts of Mars,2001,ghostso01mars
252503,Heist,3,Heist,2001,heist01eist
241527,Harry Potter and the Sorcerer's Stone,3,Harry Potter and the Sorcerer's Stone,2001,harrypo01tone
279231,Miss Minoes (a.k.a Undercover Kitty),3,Miss Minoes,2001,#N/A
306474,Arite hime/Princess Arete,3,Princess Arete,2001,arîtehi01hime
248845,Hedwig and the Angry Inch,3,Hedwig and the Angry Inch,2001,hedwiga01inch
244000,American Outlaws,1,American Outlaws,2001,america01laws
160399,Impostor,0,Impostor,2001,imposto01stor
227984,"51st State, The",0,Formula 51,2001,51ststa01tate
260866,Don't Say A Word,3,Don't Say a Word,2001,don'tsa01word
256380,Shallow Hal,3,Shallow Hal,2001,shallow01whal
211443,Jason X,3,Jason X,2001,jasonx01sonx
275277,Cowboy Bebop: The Movie,3,Cowboy Bebop: The Movie,2001,#N/A
253595,"Atlantis Conspiracy, The",3,The Atlantis Conspiracy,2001,#N/A
245574,Y tu mama tambien,0,Y Tu Mamá También,2001,ytumama01bien
251110,Gypsy 83,3,Gypsy 83,2001,gypsy8301sy83
