key,title,studio,totalgross,totaltheaters,openinggross,openingtheaters,boxofficemojo_url,release_date
diggers06gers,Diggers,Magn.,66517.0,17.0,32867.0,17.0,http://www.boxofficemojo.com/movies/?id=diggers.htm,2007-04-27
digging14rrow,Digging Up the Marrow,HF,10969.0,1.0,,,http://www.boxofficemojo.com/movies/?id=diggingupthemarrow.htm,2015-02-12
digging15fire,Digging for Fire,Orch.,119364.0,30.0,25000.0,3.0,http://www.boxofficemojo.com/movies/?id=diggingforfire.htm,2015-08-21
digimon00ovie,Digimon: The Movie,Fox,9631153.0,1825.0,4233304.0,1823.0,http://www.boxofficemojo.com/movies/?id=digimonthemovie.htm,2000-10-06
digimon16tri.,Digimon Adventure tri.,Elev.,190581.0,457.0,163005.0,457.0,http://www.boxofficemojo.com/movies/?id=digimonadventuretri..htm,2016-09-15
dilbole09ppa!,Dil Bole Hadippa! (My Heart Goes Hooray),Yash,644046.0,54.0,351457.0,54.0,http://www.boxofficemojo.com/movies/?id=dilbolehadippa!(myheartgoeshooray).htm,2009-09-18
dildhad15nedo,Dil Dhadakne Do,Eros,3066100.0,238.0,1326267.0,238.0,http://www.boxofficemojo.com/movies/?id=dildhadaknedo.htm,2015-06-05
dilemma11emma,The Dilemma,Uni.,48475290.0,2943.0,17816230.0,2940.0,http://www.boxofficemojo.com/movies/?id=thedilemma.htm,2011-01-14
diljobh05ahey,Dil Jo Bhi Kahe,Eros,129319.0,33.0,91319.0,33.0,http://www.boxofficemojo.com/movies/?id=diljobhikahe.htm,2005-09-23
dilkari03shta,Dil Ka Rishtaa,Tips,345649.0,18.0,52170.0,18.0,http://www.boxofficemojo.com/movies/?id=dilkarishtaa.htm,2003-01-17
dilwale15wale,Dilwale,UTV,4871263.0,268.0,1920402.0,268.0,http://www.boxofficemojo.com/movies/?id=dilwale.htm,2015-12-17
diminis08city,Diminished Capacity,IFC,21659.0,4.0,11832.0,4.0,http://www.boxofficemojo.com/movies/?id=diminishedcapacity.htm,2008-07-04
dinnerf10ucks,Dinner for Schmucks,P/DW,73026337.0,3046.0,23527839.0,2911.0,http://www.boxofficemojo.com/movies/?id=dinnerforschmucks.htm,2010-07-30
dinnerr00rush,Dinner Rush,Acc.,638227.0,52.0,110000.0,52.0,http://www.boxofficemojo.com/movies/?id=dinnerrush.htm,2001-09-28
dinosau00saur,Dinosaur,BV,137748063.0,3319.0,38854851.0,3257.0,http://www.boxofficemojo.com/movies/?id=dinosaur.htm,2000-05-19
dioretm14tmoi,Dior and I,Orch.,1028953.0,105.0,45772.0,2.0,http://www.boxofficemojo.com/movies/?id=diorandi.htm,2015-04-10
diosmom06momo,Goodbye Momo,Artma,8453.0,1.0,4008.0,1.0,http://www.boxofficemojo.com/movies/?id=goodbyemomo.htm,2007-04-20
diploma14atie,Diplomacy,Zeit.,230880.0,14.0,8518.0,1.0,http://www.boxofficemojo.com/movies/?id=diplomacy.htm,2014-10-15
direkto06hele,Boss of It All,IFC,51548.0,4.0,7855.0,1.0,http://www.boxofficemojo.com/movies/?id=bossofitall.htm,2007-05-23
direnji10iguo,Detective Dee and the Mystery of the Phantom Flame,IM,459836.0,48.0,52617.0,3.0,http://www.boxofficemojo.com/movies/?id=detectivedeeandthemysteryofthephantomflame.htm,2011-09-02
direnji13wang,Young Detective Dee: Rise of the Sea Dragon,WAMCR,87783.0,35.0,32795.0,35.0,http://www.boxofficemojo.com/movies/?id=youngdetectivedeeriseoftheseadragon.htm,2013-09-27
dirtthe04ovie,Dirt the Movie,MAC,,,,,http://www.boxofficemojo.com/movies/?id=dirtthemovie.htm,2004-04-01
dirty05irty,Dirty,Silv.,274245.0,35.0,95521.0,35.0,http://www.boxofficemojo.com/movies/?id=dirty.htm,2006-01-20
dirtyda04ghts,Dirty Dancing: Havana Nights,Lions,14161590.0,2042.0,5811325.0,2042.0,http://www.boxofficemojo.com/movies/?id=dirtydancinghavananights.htm,2004-02-27
dirtyde05eeds,Dirty Deeds,Free,146490.0,64.0,66219.0,64.0,http://www.boxofficemojo.com/movies/?id=dirtydeeds.htm,2005-08-26
dirtygi10girl,Dirty Girl,Wein.,55125.0,10.0,17859.0,9.0,http://www.boxofficemojo.com/movies/?id=dirtygirl.htm,2011-10-07
dirtygr16ndpa,Dirty Grandpa,LGF,35593113.0,2912.0,11111875.0,2912.0,http://www.boxofficemojo.com/movies/?id=dirtygrandpa.htm,2016-01-22
dirtyla06dryi,Dirty Laundry,Code,20138.0,2.0,15841.0,2.0,http://www.boxofficemojo.com/movies/?id=dirtylaundry.htm,2007-12-07
dirtylo05love,Dirty Love,First,36099.0,44.0,23281.0,44.0,http://www.boxofficemojo.com/movies/?id=dirtylove.htm,2005-09-23
dirtypr02ings,Dirty Pretty Things,Mira.,8112414.0,493.0,100512.0,5.0,http://www.boxofficemojo.com/movies/?id=dirtyprettythings.htm,2003-07-18
dirtysh04hame,A Dirty Shame,FL,1339668.0,133.0,29384.0,1.0,http://www.boxofficemojo.com/movies/?id=adirtyshame.htm,2004-09-17
dirtywa13wars,Dirty Wars,IFC,384473.0,31.0,63504.0,4.0,http://www.boxofficemojo.com/movies/?id=dirtywars.htm,2013-06-07
disappe06nces,Disappearances,Truly,7506.0,2.0,1629.0,2.0,http://www.boxofficemojo.com/movies/?id=disappearances.htm,2007-05-04
disappe09reed,The Disappearance of Alice Creed,Anch.,166980.0,12.0,40258.0,10.0,http://www.boxofficemojo.com/movies/?id=thedisappearanceofalicecreed.htm,2010-08-06
disappe14igby,The Disappearance of Eleanor Rigby,Wein.,587774.0,139.0,66941.0,4.0,http://www.boxofficemojo.com/movies/?id=thedisappearanceofeleanorrigby.htm,2014-09-12
disappo16room,The Disappointments Room,Rela.,2423468.0,1554.0,1402823.0,1554.0,http://www.boxofficemojo.com/movies/?id=thedisappointmentsroom.htm,2016-09-09
disaste08ovie,Disaster Movie,LGF,14190901.0,2642.0,5836973.0,2642.0,http://www.boxofficemojo.com/movies/?id=disastermovie.htm,2008-08-29
dischor01hord,Dischord,AL,2199.0,2.0,2199.0,2.0,http://www.boxofficemojo.com/movies/?id=dischord.htm,2003-02-28
disconn12ecti,Disconnect,LD,1436900.0,180.0,124000.0,15.0,http://www.boxofficemojo.com/movies/?id=disconnect.htm,2013-04-12
discove12rers,The Discoverers,Quad,50020.0,4.0,7166.0,1.0,http://www.boxofficemojo.com/movies/?id=thediscoverers.htm,2014-05-16
disfigu08ured,Disfigured,CLS,829.0,1.0,585.0,1.0,http://www.boxofficemojo.com/movies/?id=disfigured.htm,2008-07-18
disgrac08race,Disgrace,Pala.,69705.0,9.0,12615.0,3.0,http://www.boxofficemojo.com/movies/?id=disgrace.htm,2009-09-18
dish00dish,The Dish,WB,2552992.0,82.0,70612.0,6.0,http://www.boxofficemojo.com/movies/?id=thedish.htm,2001-03-16
dishkiy14aoon,Dishkiyaoon,Eros,11288.0,11.0,8173.0,11.0,http://www.boxofficemojo.com/movies/?id=dishkiyaoon.htm,2014-03-28
dishoom16hoom,Dishoom,Eros,812737.0,113.0,442299.0,113.0,http://www.boxofficemojo.com/movies/?id=dishoom.htm,2016-07-29
disleck12ovie,Dislecksia: The Movie,A23,33066.0,1.0,2213.0,1.0,http://www.boxofficemojo.com/movies/?id=dislecksiathemovie.htm,2013-10-04
distric09ict9,District 9,TriS,115646235.0,3180.0,37354308.0,3049.0,http://www.boxofficemojo.com/movies/?id=district9.htm,2009-08-14
distric12tion,District of Corruption,RM,31954.0,3.0,25086.0,3.0,http://www.boxofficemojo.com/movies/?id=districtofcorruption.htm,2012-10-26
disturb07rbia,Disturbia,P/DW,80209692.0,3132.0,22224982.0,2925.0,http://www.boxofficemojo.com/movies/?id=disturbia.htm,2007-04-13
disturb16eace,Disturbing the Peace,Abr.,25287.0,2.0,10907.0,2.0,http://www.boxofficemojo.com/movies/?id=disturbingthepeace.htm,2016-11-11
divan03ivan,Divan,Zeit.,56214.0,4.0,3560.0,1.0,http://www.boxofficemojo.com/movies/?id=divan.htm,2004-03-17
diverge14gent,Divergent,LG/S,150947895.0,3936.0,54607747.0,3936.0,http://www.boxofficemojo.com/movies/?id=divergent.htm,2014-03-21
divinea15cess,Divine Access,INDEP,,,,,http://www.boxofficemojo.com/movies/?id=divineaccess.htm,2016-05-13
divinei07ioni,Divine Intervention (2007),Bllz.,1485.0,1.0,856.0,1.0,http://www.boxofficemojo.com/movies/?id=divineintervention(2007).htm,2007-11-30
divines02hood,Divine Secrets of the Ya-Ya Sisterhood,WB,69599016.0,2792.0,16167412.0,2507.0,http://www.boxofficemojo.com/movies/?id=divinesecretsoftheya-yasisterhood.htm,2002-06-07
dixieyl14ombi,"Mummy, I'm a Zombie",P4,120.0,,,,http://www.boxofficemojo.com/movies/?id=mummyimazombie.htm,2014-09-20
djangou12ined,Django Unchained,Wein.,162805434.0,3012.0,30122888.0,3010.0,http://www.boxofficemojo.com/movies/?id=djangounchained.htm,2012-12-25
d'lucky06nes!,D'Lucky Ones,ABS,64352.0,3.0,31820.0,3.0,http://www.boxofficemojo.com/movies/?id=dluckyones.htm,2006-05-05
dnevnoy06ozor,Day Watch,FoxS,450897.0,64.0,46730.0,5.0,http://www.boxofficemojo.com/movies/?id=daywatch.htm,2007-06-01
doa:dea06live,DOA: Dead or Alive,W/Dim.,480813.0,505.0,260713.0,505.0,http://www.boxofficemojo.com/movies/?id=doadeadoralive.htm,2007-06-15
doctors02leep,Close Your Eyes,First,41392.0,17.0,21980.0,17.0,http://www.boxofficemojo.com/movies/?id=closeyoureyes.htm,2004-04-23
doctors16ange,Doctor Strange,BV,232641920.0,3882.0,85058311.0,3882.0,http://www.boxofficemojo.com/movies/?id=doctorstrange.htm,2016-11-04
documen13nted,Documented,DefA,30662.0,3.0,5422.0,1.0,http://www.boxofficemojo.com/movies/?id=documented.htm,2014-05-02
do-deca12hlon,The Do-Deca-Pentathlon,RF,10000.0,8.0,10000.0,8.0,http://www.boxofficemojo.com/movies/?id=thedo-deca-pentathlon.htm,2012-07-06
dodgeba04tory,DodgeBall: A True Underdog Story,Fox,114326736.0,3020.0,30070196.0,2694.0,http://www.boxofficemojo.com/movies/?id=dodgeballatrueunderdogstory.htm,2004-06-18
dodookd12deul,The Thieves,WGUSA,685839.0,22.0,136993.0,11.0,http://www.boxofficemojo.com/movies/?id=thethieves.htm,2012-10-12
dodsno09dsno,Dead Snow,IFC,46742.0,4.0,5363.0,1.0,http://www.boxofficemojo.com/movies/?id=deadsnow.htm,2009-06-19
dodsno214sno2,Dead Snow 2: Red vs. Dead,WGUSA,37473.0,25.0,17331.0,25.0,http://www.boxofficemojo.com/movies/?id=deadsnow2redvs.dead.htm,2014-10-10
