key,title,year,opening_date,releasemonth,releaseweekday,releaseweeknumber,total_gross,adjusted_gross,nVotes,userscore,metascore,metacritic_user_score,studio,total_theaters,opening_gross,adjusted_opening_gross,opening_theaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier
judyber99rlin,Judy Berlin,2000,2/25/00,February,Friday,8,61236,85299.43993,908,6.8,74, ,Shoot.,19,61236,85299.43993,19,11111,Judy Berlin,2000,Judy Berlin,1999,1.392962309
mifunes99sang,Mifune,2000,2/25/00,February,Friday,8,512434,713801.2476,6720,7.2,57, ,SPC,34,44137,61481.17741,12,12210,Mifune's Last Song,2000,Mifunes sidste sang,1999,1.392962309
reindee00ames,Reindeer Games,2000,2/25/00,February,Friday,8,23368995,32552129.22,30734,5.7,37,1,Mira.,2204,8128356,11322493.54,2204,121000,Reindeer Games,2000,Reindeer Games,2000,1.392962309
3strike00ikes,3 Strikes,2000,3/3/00,March,Friday,9,9832166,13583837.99,1402,4,11,4,MGM,678,3684704,5090681.154,678,1011110000,3 Strikes,2000,3 Strikes,2000,1.381571262
drownin00mona,Drowning Mona,2000,3/3/00,March,Friday,9,15506764,21423699.5,11678,5.6,25,6.6,Dest.,1981,5802229,8016192.84,1981,121100,Drowning Mona,2000,Drowning Mona,2000,1.381571262
ghostdo99urai,Ghost Dog: Way of the Samurai,2000,3/3/00,March,Friday,9,3308029,4570277.799,69200,7.5,67,8.2,Art.,109,166344,229816.09,14,2211,Ghost Dog: The Way of the Samurai,2000,Ghost Dog: Way of the Samurai,1999,1.381571262
nextbes00hing,The Next Best Thing,2000,3/3/00,March,Friday,9,14990582,20710557.29,9255,4.7,25,6,Par.,2035,5870387,8110357.974,2007,1011110000,The Next Best Thing,2000,The Next Best Thing,2000,1.381571262
whatpla00rom?,What Planet Are You From?,2000,3/3/00,March,Friday,9,6291602,8692296.513,8014,5.6,41,1,Sony,2248,3008746,4156797.007,2248,1121000,What Planet Are You From?,2000,What Planet Are You From?,2000,1.381571262
deterre99ence,Deterrence,2000,3/10/00,March,Friday,10,145071,200425.9245,2217,6.5,50, ,ParC,17,23318,32215.47868,7,112100,Deterrence,2000,Deterrence,1999,1.381571262
ekkusu96kusu,X,2000,3/10/00,March,Friday,10,143355,198055.1482,2112,6.2,40,5.5,Mng,1,6672,9217.843458,1,112101,X,2000,Ekkusu,1996,1.381571262
god'sar00army,God's Army,2000,3/10/00,March,Friday,10,2637726,3644206.438,867,6.6,38, ,Zion,50,115642,159767.6638,18,11112,God's Army,2000,God's Army,2000,1.381571262
mission00mars,Mission to Mars,2000,3/10/00,March,Friday,10,60883407,84114765.42,59802,5.6,34,6,BV,3101,22855247,31576152.43,3054,1121000,Mission to Mars,2000,Mission to Mars,2000,1.381571262
ninthga99gate,The Ninth Gate,2000,3/10/00,March,Friday,10,18661336,25781965.52,136062,6.7,44,8.8,Art.,1694,6622518,9149480.549,1586,22100,The Ninth Gate,2000,The Ninth Gate,1999,1.381571262
