key,bechdel-rating,imdb-id,imdb-url,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
...sogo06tion,#N/A,,,So Goes the Nation,...So Goes the Nation,2006,...So Goes the Nation,2006,2006,October,4,10/4/2006,Wednesday,40,10337,12367.10894,364,6.3,65,174,IFC,4,,-1,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,3136.941051,4,1000012101,http://www.boxofficemojo.com/movies/?id=sogoesthenation.htm,http://www.metacritic.com/movie/...so goes the nation,5/9/2017,1.196392468,Metacritic
'7114'71,0,2614684,http://www.imdb.com/title/tt2614684/,'71,'71,2015,'71,2014,2015,February,27,2/27/2015,Friday,9,1270847,1307176.715,39117,7.2,83,35,RAtt.,121,R,-1,UK,English,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,55761,57355.04023,4,13200,http://www.boxofficemojo.com/movies/?id=71.htm,http://www.metacritic.com/movie/'71,5/9/2017,1.028587009,Metacritic
'rxmas01xmas,#N/A,,,'R Xmas,'R Xmas,2002,'R Xmas,2001,2002,November,8,11/8/2002,Friday,45,850,1131.920574,1086,5.7,55,235,Path.,1,R,-1,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,850,1131.920574,1,121000,http://www.boxofficemojo.com/movies/?id=rxmas.htm,http://www.metacritic.com/movie/'r xmas,5/9/2017,1.331671263,Metacritic
'tisaut06aris,#N/A,,,'Tis Autumn: The Search for Jackie Paris,'Tis Autumn: The Search for Jackie Paris,2007,'Tis Autumn: The Search for Jackie Paris,2006,2007,December,7,12/7/2007,Friday,49,1476,1696.631206,54,7.2,73,85,OutF,1,,-1,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1476,1696.631206,1,111102,http://www.boxofficemojo.com/movies/?id=tisautumnthesearchforjackieparis.htm,http://www.metacritic.com/movie/'tis autumn: the search for jackie paris,5/9/2017,1.149479137,Metacritic
[500]da09mmer,1,1022603,http://www.imdb.com/title/tt1022603/,(500) Days of Summer,(500) Days of Summer,2009,[500] Days of Summer,2009,2009,July,17,7/17/2009,Friday,29,32391374,36314269.3,397873,7.7,76,67,FoxS,1048,PG-13,7500000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,834501,935566.7976,27,2311,http://www.boxofficemojo.com/movies/?id=(500)daysofsummer.htm,http://www.metacritic.com/movie/(500) days of summer,5/9/2017,1.121109259,Metacritic
[rec]209ec]2,1,1245112,http://www.imdb.com/title/tt1245112/,[Rec] 2,[Rec] 2,2010,[Rec]²,2009,2010,July,9,7/9/2010,Friday,28,27766,30748.91135,58160,6.6,52,282,Magn.,7,R,5600000,Spain,Spanish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8191,9070.962071,5,122100,http://www.boxofficemojo.com/movies/?id=[rec]2.htm,http://www.metacritic.com/movie/[rec] 2,5/9/2017,1.107430359,Metacritic
[rec]312esis,3,1649444,http://www.imdb.com/title/tt1649444/,Rec 3: Genesis,[REC] 3: Genesis,2012,[Rec]³: Génesis,2012,2012,September,7,9/7/2012,Friday,36,9600,10015.89062,27453,5,45,437,Magn.,8,R,6400000,Spain,Spanish,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3001,3131.00914,8,1211000,http://www.boxofficemojo.com/movies/?id=rec3genesis.htm,http://www.metacritic.com/movie/[rec] 3: genesis,5/9/2017,1.043321939,Metacritic
[rec]4:14psis,#N/A,,,REC 4: Apocalypse,[REC] 4: Apocalypse,2015,[REC] 4: Apocalipsis,2014,2015,January,2,1/2/2015,Friday,1,837,864.6663729,11816,5.4,53,,Magn.,5,R,3333148,Spain,Spanish,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,708,731.4023799,5,1221000,http://www.boxofficemojo.com/movies/?id=rec4apocalypse.htm,http://www.metacritic.com/movie/[rec] 4: apocalypse,6/12/2017,1.033054209,Metacritic
[untitl09led],1,1132193,http://www.imdb.com/title/tt1132193/,(Untitled),(Untitled),2009,[Untitled],2009,2009,October,23,10/23/2009,Friday,43,230600,257539.9751,1893,6.4,58,204,Gold.,25,R,-1,USA,English,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18002,20105.09381,3,12101,http://www.boxofficemojo.com/movies/?id=(untitled).htm,http://www.metacritic.com/movie/(untitled),5/9/2017,1.116825564,Metacritic
#horror15rror,#N/A,,,#Horror,#Horror,2015,#Horror,2015,2015,November,20,11/20/2015,Friday,47,,,2057,3.2,42,511,IFC,,,1500000,USA,English,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,,,,2111000000,http://www.boxofficemojo.com/movies/?id=#horror.htm,http://www.metacritic.com/movie/#horror,5/9/2017,1.017258233,Metacritic
$9.99089.99,#N/A,,,$9.99 ,$9.99 ,2009,$9.99 ,2008,2008,December,12,12/12/2008,Friday,50,52384,60159.32173,2797,6.8,68,126,Reg.,4,R,-1,Israel,English,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,548.949217,1,12100,http://www.boxofficemojo.com/movies/?id=$9.99.htm,http://www.metacritic.com/movie/$9.99,5/9/2017,1.148429324,Metacritic
"10,000b0800bc",1,443649,http://www.imdb.com/title/tt443649/,"10,000 B.C.","10,000 BC",2008,"10,000 BC",2008,2008,March,7,3/7/2008,Friday,10,94784201,107170671.8,112555,5.1,34,379,WB,3454,PG-13,105000000,USA,English,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,35867488,40554678.37,3410,1111000,http://www.boxofficemojo.com/movies/?id=10000b.c..htm,"http://www.metacritic.com/movie/10,000 bc",5/9/2017,1.130680754,Metacritic
10.000k1400km,#N/A,,,"10,000 Km","10,000 km",2015,10.000 Km,2014,2015,July,10,7/10/2015,Friday,28,12423,12567.60723,3141,6.7,75,134,BG,11,R,-1,Spain,Spanish,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8941,9045.075767,11,12100,http://www.boxofficemojo.com/movies/?id=10000km.htm,"http://www.metacritic.com/movie/10,000 km",5/9/2017,1.011640283,Metacritic
1001gra14gram,#N/A,,,1001 Grams,1001 Grams,2015,1001 Gram,2014,2015,May,8,5/8/2015,Friday,19,10983,11150.51263,1047,6.3,65,265,KL,1,,-1,Norway,Norwegian,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,122100,http://www.boxofficemojo.com/movies/?id=1001grams.htm,http://www.metacritic.com/movie/1001 grams,5/9/2017,1.015251992,Metacritic
100bloo12cres,#N/A,,,100 Bloody Acres,100 Bloody Acres,2013,100 Bloody Acres,2012,2013,June,28,6/28/2013,Friday,26,6388,6604.887351,2932,6,63,231,DR,13,,-1,Australia,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3419,3535.082945,13,122100,http://www.boxofficemojo.com/movies/?id=100bloodyacres.htm,http://www.metacritic.com/movie/100 bloody acres,5/9/2017,1.033952309,Metacritic
101reyk00avik,#N/A,,,101 Reykjavik,Reykjavík,2001,101 Reykjavík,2000,2001,July,27,7/27/2001,Friday,30,126404,171932.2283,8484,6.9,68,111,Men.,2,,-1,Iceland,Icelandic,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14656,19934.80221,2,13200,http://www.boxofficemojo.com/movies/?id=101reykjavik.htm,http://www.metacritic.com/movie/reykjavík,5/9/2017,1.360180282,Metacritic
102dalm00ians,3,211181,http://www.imdb.com/title/tt211181/,102 Dalmatians,102 Dalmatians,2000,102 Dalmatians,2000,2000,November,22,11/22/2000,Wednesday,47,66957026,92852203.91,27796,4.8,35,291,BV,2704,,85000000,USA,English,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,19883351,27573102.81,2704,11210000,http://www.boxofficemojo.com/movies/?id=102dalmatians.htm,http://www.metacritic.com/movie/102 dalmatians,5/9/2017,1.386743251,Metacritic
10clove16lane,3,1179933,http://www.imdb.com/title/tt1179933/,10 Cloverfield Lane,10 Cloverfield Lane,2016,10 Cloverfield Lane,2016,2016,March,11,3/11/2016,Friday,11,72082998,73081914.12,190571,7.2,76,106,Par.,3427,PG-13,15000000,USA,English,5,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,24727437,25070106.37,3391,13210,http://www.boxofficemojo.com/movies/?id=10cloverfieldlane.htm,http://www.metacritic.com/movie/10 cloverfield lane,5/9/2017,1.01385786,Metacritic
10daysi15ouse,3,3453052,http://www.imdb.com/title/tt3453052/,10 Days in a Madhouse,10 Days in a Madhouse,2015,10 Days in a Madhouse,2015,2015,November,11,11/11/2015,Wednesday,45,14616,14868.24633,420,6.6,,,CafeP,10,R,12000000,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4773,4855.373546,1,1113,http://www.boxofficemojo.com/movies/?id=10daysinamadhouse.htm,http://www.metacritic.com/movie/10 days in a madhouse,6/12/2017,1.017258233,Metacritic
10items06less,#N/A,,,10 Items or Less,10 Items or Less,2006,10 Items or Less,2006,2006,December,1,12/1/2006,Friday,48,83291,99648.72503,13106,6.7,54,319,Think,15,R,-1,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35929,42985.18498,15,12100,http://www.boxofficemojo.com/movies/?id=10itemsorless.htm,http://www.metacritic.com/movie/10 items or less,5/9/2017,1.196392468,Metacritic
10rules13ound,#N/A,,,10 Rules for Sleeping Around,10 Rules for Sleeping Around,2014,10 Rules for Sleeping Around,2013,2014,April,4,4/4/2014,Friday,14,,,2345,3.7,1,,Scre.,,R,2500000,USA,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,1111100000,http://www.boxofficemojo.com/movies/?id=10rulesforsleepingaround.htm,http://www.metacritic.com/movie/10 rules for sleeping around,6/12/2017,1.018391037,Metacritic
10th&wo06wolf,#N/A,,,10th & Wolf,10th & Wolf,2006,10th & Wolf,2006,2006,August,18,8/18/2006,Friday,33,54702,64771.03121,5661,6.4,36,474,Think,6,R,8000000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,20774,24597.88312,6,122100,http://www.boxofficemojo.com/movies/?id=10th&wolf.htm,http://www.metacritic.com/movie/10th & wolf,5/9/2017,1.184070623,Metacritic
10years11ears,#N/A,,,10 Years,10 Years,2012,10 Years,2011,2012,September,14,9/14/2012,Friday,37,203373,212183.5128,19465,6.1,61,253,Anch.,63,PG-13,-1,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,22707,23690.71127,3,122100,http://www.boxofficemojo.com/movies/?id=10years.htm,http://www.metacritic.com/movie/10 years,5/9/2017,1.043321939,Metacritic
11-11-1111-11,#N/A,,,11/11/2011,11/11/2011,2011,11/11/2011,2011,2011,November,11,11/11/2011,Friday,45,32771,34973.11617,11269,4,26,,Rocket,17,PG-13,-1,USA,English,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,32771,34973.11617,17,1111110000,http://www.boxofficemojo.com/movies/?id=11-11-11.htm,http://www.metacritic.com/movie/11-11-11,6/12/2017,1.0671971,Metacritic
11thhou07ouri,#N/A,,,The 11th Hour,The 11th Hour,2007,The 11th Hour,2007,2007,August,17,8/17/2007,Friday,33,707343,821362.5397,5175,7.3,63,202,WIP,111,,-1,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60853,70662.14641,4,12112,http://www.boxofficemojo.com/movies/?id=the11thhour.htm,http://www.metacritic.com/movie/the 11th hour,5/9/2017,1.16119413,Metacritic
12/12/1122/12,#N/A,,,12/12/2012,12/12/2012,2013,12/12/2012,2012,2013,November,15,11/15/2013,Friday,46,,,1237,1.8,54,362,Wein.,2,R,-1,USA,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,2,6100000000,http://www.boxofficemojo.com/movies/?id=12/12/12.htm,http://www.metacritic.com/movie/12/12/12,5/9/2017,1.035882078,Metacritic
120712,#N/A,,,12,12,2009,12,2007,2009,March,4,3/4/2009,Wednesday,9,125120,142015.4852,12070,7.8,72,97,SPC,20,PG-13,4000000,Russia,Russian,4,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12042,13668.08242,5,1212,http://www.boxofficemojo.com/movies/?id=12.htm,http://www.metacritic.com/movie/12,5/9/2017,1.135034249,Metacritic
127hour10ours,3,1542344,http://www.imdb.com/title/tt1542344/,127 Hours,127 Hours,2010,127 Hours,2010,2010,November,5,11/5/2010,Friday,45,18335230,20231492.48,293280,7.6,82,24,FoxS,916,R,18000000,USA,English,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,264851,292242.367,4,2310,http://www.boxofficemojo.com/movies/?id=127hours.htm,http://www.metacritic.com/movie/127 hours,5/9/2017,1.1034218,Metacritic
12andho05ding,3,417385,http://www.imdb.com/title/tt417385/,Twelve and Holding,Twelve and Holding,2006,12 and Holding,2005,2006,May,19,5/19/2006,Friday,20,96464,115009.859,6246,7.6,65,181,IFC,15,R,400000,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11456,13658.49379,3,2311,http://www.boxofficemojo.com/movies/?id=twelveandholding.htm,http://www.metacritic.com/movie/twelve and holding,5/9/2017,1.19225679,Metacritic
12o'clo13boys,#N/A,,,12 O'Clock Boys,12 O'Clock Boys,2014,12 O'Clock Boys,2013,2014,January,31,1/31/2014,Friday,5,82614,85268.48633,1122,6.4,68,196,Osci.,21,,-1,USA,English,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,44108,45525.24263,21,12101,http://www.boxofficemojo.com/movies/?id=12oclockboys.htm,http://www.metacritic.com/movie/12 o'clock boys,5/9/2017,1.032131192,Metacritic
12round09unds,#N/A,,,12 Rounds,12 Rounds,2009,12 Rounds,2009,2009,March,27,3/27/2009,Friday,13,12234694,13886796.71,23740,5.6,38,340,Fox,2331,PG-13,22000000,USA,English,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5329240,6048869.919,2331,121000,http://www.boxofficemojo.com/movies/?id=12rounds.htm,http://www.metacritic.com/movie/12 rounds,5/9/2017,1.135034249,Metacritic
12years13lave,3,2024544,http://www.imdb.com/title/tt2024544/,12 Years a Slave,12 Years a Slave,2013,12 Years a Slave,2013,2013,October,18,10/18/2013,Friday,42,56671993,58585600.33,484004,8.1,96,1,FoxS,1474,R,20000000,USA,English,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923715,954905.4999,19,1321,http://www.boxofficemojo.com/movies/?id=12yearsaslave.htm,http://www.metacritic.com/movie/12 years a slave,5/9/2017,1.033766367,Metacritic
13assas11sins,1,1436045,http://www.imdb.com/title/tt1436045/,13 Assassins,13 Assassins,2011,Jûsan-nin no shikaku,2010,2011,April,29,4/29/2011,Friday,17,802778,861765.7959,52946,7.6,84,22,Magn.,31,R,6000000,Japan,Japanese,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,45854,49223.33298,4,2310,http://www.boxofficemojo.com/movies/?id=13assassins.htm,http://www.metacritic.com/movie/13 assassins,5/9/2017,1.073479587,Metacritic
13going04on30,3,337563,http://www.imdb.com/title/tt337563/,13 Going on 30,13 Going on 30,2004,13 Going on 30,2004,2004,April,23,4/23/2004,Friday,17,57231747,73497740.12,128536,6.1,57,229,SonR,3453,PG-13,37000000,USA,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,21054283,27038179.01,3438,122100,http://www.boxofficemojo.com/movies/?id=13goingon30.htm,http://www.metacritic.com/movie/13 going on 30,5/9/2017,1.284212766,Metacritic
13hours16ours,2,4172430,http://www.imdb.com/title/tt4172430/,13 Hours: The Secret Soldiers of Benghazi,13 Hours: The Secret Soldiers of Benghazi,2016,13 Hours,2016,2016,January,15,1/15/2016,Friday,3,52853219,53860686.36,75995,7.3,48,462,Par.,2917,R,50000000,Malta,English,5,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16194738,16503435.75,2389,12211,http://www.boxofficemojo.com/movies/?id=13hoursthesecretsoldiersofbenghazi.htm,http://www.metacritic.com/movie/13 hours: the secret soldiers of benghazi,5/9/2017,1.019061608,Metacritic
13sins14sins,#N/A,,,13 Sins,13 Sins,2014,13 Sins,2014,2014,April,18,4/18/2014,Friday,16,13809,14062.96183,25525,6.3,44,496,RTWC,45,R,4000000,USA,English,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9261,9431.319397,45,122100,http://www.boxofficemojo.com/movies/?id=13sins.htm,http://www.metacritic.com/movie/13 sins,5/9/2017,1.018391037,Metacritic
13tzame05meti,1,475169,http://www.imdb.com/title/tt475169/,13 Tzameti,13 Tzameti,2006,13 Tzameti,2005,2006,July,28,7/28/2006,Friday,30,121390,144016.8574,15161,7.4,61,244,Palm,6,,-1,France,French,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10805,12819.03076,1,12311,http://www.boxofficemojo.com/movies/?id=13tzameti.htm,http://www.metacritic.com/movie/13 tzameti,5/9/2017,1.186398034,Metacritic
1408071408,3,450385,http://www.imdb.com/title/tt450385/,1408,1408,2007,1408,2007,2007,June,22,6/22/2007,Friday,25,71985628,83414769.91,219953,6.8,64,190,MGM/W,2733,PG-13,25000000,USA,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20617667,23891129.33,2678,12100,http://www.boxofficemojo.com/movies/?id=1408.htm,http://www.metacritic.com/movie/1408,5/9/2017,1.158769774,Metacritic
15minut01utes,#N/A,,,15 Minutes,15 Minutes,2001,15 Minutes,2001,2001,March,9,3/9/2001,Friday,10,24403552,33438129.21,43689,6.1,34,327,NL,2337,R,60000000,USA,English,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,10523154,14418990.45,2337,122100,http://www.boxofficemojo.com/movies/?id=15minutes.htm,http://www.metacritic.com/movie/15 minutes,5/9/2017,1.370215664,Metacritic
16block06ocks,#N/A,,,16 Blocks,16 Blocks,2006,16 Blocks,2006,2006,March,3,3/3/2006,Friday,9,36895141,44582921.33,115423,6.6,63,208,WB,2706,PG-13,52000000,USA,English,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,11855260,14325521.18,2706,23100,http://www.boxofficemojo.com/movies/?id=16blocks.htm,http://www.metacritic.com/movie/16 blocks,5/9/2017,1.208368368,Metacritic
16years03ohol,#N/A,,,16 Years of Alcohol,16 Years of Alcohol,2005,16 Years of Alcohol,2003,2005,March,15,3/15/2005,Tuesday,11,8046,10049.46649,1519,6.3,57,282,Tar.,2,R,-1,UK,English,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2863,3575.891443,1,111100,http://www.boxofficemojo.com/movies/?id=16yearsofalcohol.htm,http://www.metacritic.com/movie/16 years of alcohol,5/9/2017,1.249001552,Metacritic
1732hot98tten,#N/A,,,Bloody Angels,Bloody Angels,2001,1732 Høtten,1998,2001,May,25,5/25/2001,Friday,21,6509,8843.449004,425,6.1,,,USA,,R,-1,Norway,Norwegian,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,111100,http://www.boxofficemojo.com/movies/?id=bloodyangels.htm,http://www.metacritic.com/movie/bloody angels,6/12/2017,1.358649409,Metacritic
17again09gain,3,974661,http://www.imdb.com/title/tt974661/,17 Again,17 Again,2009,17 Again,2009,2009,April,17,4/17/2009,Friday,16,64167069,72650458.65,152487,6.4,48,274,WB (NL),3255,PG-13,20000000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,23722310,26858585.39,3255,122100,http://www.boxofficemojo.com/movies/?id=17again.htm,http://www.metacritic.com/movie/17 again,5/9/2017,1.132207841,Metacritic
17fille11lles,3,1860152,http://www.imdb.com/title/tt1860152/,17 Girls,17 Girls,2012,17 filles,2011,2012,September,21,9/21/2012,Friday,38,15123,15778.15769,2687,6,61,256,Strand,10,,-1,France,French,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4449,4641.739308,10,132000,http://www.boxofficemojo.com/movies/?id=17girls.htm,http://www.metacritic.com/movie/17 girls,5/9/2017,1.043321939,Metacritic
17suide04kong,#N/A,,,Formula 17,Formula 17,2005,17 sui de tian kong,2004,2005,August,26,8/26/2005,Friday,34,15427,18964.21316,902,6.4,49,,Strand,1,,-1,Taiwan,Mandarin,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5124,6298.867454,1,12101,http://www.boxofficemojo.com/movies/?id=formula17.htm,http://www.metacritic.com/movie/formula 17,6/12/2017,1.229287169,Metacritic
180sout10outh,#N/A,,,180 South,180 Degrees South,2010,180° South,2010,2010,May,21,5/21/2010,Friday,21,31745,35128.46776,2446,7.7,,,Magn.,4,,-1,USA,English,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10269,11363.49773,4,1211,http://www.boxofficemojo.com/movies/?id=180south.htm,http://www.metacritic.com/movie/180 degrees south,6/12/2017,1.106582699,Metacritic
1915151915,#N/A,,,1915,1915,2015,1915,2015,2015,April,17,4/17/2015,Friday,16,111682,113963.3245,4008,4.9,,,BM,10,,-1,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30448,31069.9603,8,3000000005,http://www.boxofficemojo.com/movies/?id=1915.htm,http://www.metacritic.com/movie/1915,6/12/2017,1.020426967,Metacritic
"20,000d14arth",#N/A,,,"20,000 Days on Earth","20,000 Days on Earth",2014,"20,000 Days on Earth",2014,2014,September,17,9/17/2014,Wednesday,38,279558,283552.3401,8799,7.5,83,38,Drft.,28,,-1,UK,English,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27879,28277.33668,1,2311,http://www.boxofficemojo.com/movies/?id=20000daysonearth.htm,"http://www.metacritic.com/movie/20,000 days on earth",5/9/2017,1.014288055,Metacritic
2012i09012i,1,1190080,http://www.imdb.com/title/tt1190080/,2012,2012,2009,2012,2009,2009,November,13,11/13/2009,Friday,46,166112167,185387106.3,297144,5.8,49,262,Sony,3444,PG-13,200000000,USA,English,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,65237614,72807505.31,3404,121000,http://www.boxofficemojo.com/movies/?id=2012.htm,http://www.metacritic.com/movie/2012,5/9/2017,1.116035686,Metacritic
2016oba12rica,#N/A,,,2016 Obama's America,2016: Obama's America,2012,2016: Obama's America,2012,2012,July,13,7/13/2012,Friday,28,33449086,35248968.73,9339,5.1,28,551,RM,2017,PG,2500000,USA,English,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31610,33310.9222,1,3000000003,http://www.boxofficemojo.com/movies/?id=2016obamasamerica.htm,http://www.metacritic.com/movie/2016: obama's america,5/9/2017,1.053809624,Metacritic
2046042046,3,212712,http://www.imdb.com/title/tt212712/,2046,2046,2005,2046,2004,2005,August,5,8/5/2005,Friday,31,1444588,1775813.493,43188,7.5,78,53,SPC,61,R,12000000,Hong Kong,Cantonese,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,113074,139000.4174,4,12211,http://www.boxofficemojo.com/movies/?id=2046.htm,http://www.metacritic.com/movie/2046,5/9/2017,1.229287169,Metacritic
20centi05tros,3,421528,http://www.imdb.com/title/tt421528/,20 Centimeters,20 Centimeters,2006,20 centímetros,2005,2006,October,27,10/27/2006,Friday,43,6635,7938.064024,1588,6.6,58,277,TLA,2,,-1,Spain,Spanish,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2177,2604.546402,1,1000011211,http://www.boxofficemojo.com/movies/?id=20centimeters.htm,http://www.metacritic.com/movie/20 centimeters,5/9/2017,1.196392468,Metacritic
20feetf13rdom,3,2396566,http://www.imdb.com/title/tt2396566/,20 Feet from Stardom,20 Feet from Stardom,2013,Twenty Feet from Stardom,2013,2013,June,14,6/14/2013,Friday,24,4946445,5114388.23,10155,7.4,83,26,RTWC,147,PG-13,1000000,USA,English,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54596,56449.66027,3,12310,http://www.boxofficemojo.com/movies/?id=20feetfromstardom.htm,http://www.metacritic.com/movie/20 feet from stardom,5/9/2017,1.033952309,Metacritic
20thcen16omen,3,4385888,http://www.imdb.com/title/tt4385888/,20th Century Women,20th Century Women,2016,20th Century Women,2016,2016,December,28,12/28/2016,Wednesday,52,5664764,5664764,13444,7.4,83,36,A24,650,R,7000000,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,111200,111200,4,12310,http://www.boxofficemojo.com/movies/?id=20thcenturywomen.htm,http://www.metacritic.com/movie/20th century women,5/9/2017,1,Metacritic
210821,3,478087,http://www.imdb.com/title/tt478087/,21,21,2008,21,2008,2008,March,28,3/28/2008,Friday,13,81159365,91765332,197976,6.8,48,304,Sony,2952,PG-13,35000000,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,24105943,27256125.8,2648,23100,http://www.boxofficemojo.com/movies/?id=21.htm,http://www.metacritic.com/movie/21,5/9/2017,1.130680754,Metacritic
21andov13over,1,1711425,http://www.imdb.com/title/tt1711425/,21 and Over,21 and Over,2013,21 & Over,2013,2013,March,1,3/1/2013,Friday,9,25682380,26637747.37,63408,5.9,34,564,Rela.,2771,R,13000000,USA,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8754168,9079817.198,2771,121000,http://www.boxofficemojo.com/movies/?id=21andover.htm,http://www.metacritic.com/movie/21 and over,5/9/2017,1.037199332,Metacritic
