key,bechdel-rating,imdb-id,imdb-url,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
microbe15soil,#N/A,,,Microbe & Gasoline,Microbe and Gasoline,2016,Microbe et Gasoil,2015,2016,July,1,7/1/2016,Friday,27,63802,64015.17888,1442,6.7,75,124,Scre.,9,R,-1,France,French,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11882,11921.70082,2,23200,http://www.boxofficemojo.com/movies/?id=microbe&gasoline.htm,http://www.metacritic.com/movie/microbe and gasoline,5/9/2017,1.003341257,Metacritic
middlem10emen,#N/A,,,Middle Men,Middle Men,2010,Middle Men,2010,2010,August,6,8/6/2010,Friday,32,754301,834184.0991,43,5.8,60,206,ParV,252,,-1,Canada,English,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,325641,360127.5143,252,10.0121,http://www.boxofficemojo.com/movies/?id=middlemen.htm,http://www.metacritic.com/movie/middle men,5/9/2017,1.105903478,Metacritic
middleo08here,#N/A,,,Middle of Nowhere,Middle of Nowhere,2012,Middle of Nowhere,2008,,,,,,,,,3163,6.5,75,76,Uni.,,R,-1,USA,English,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,123100,http://www.boxofficemojo.com/movies/?id=middleofnowhere.htm,http://www.metacritic.com/movie/middle of nowhere,5/9/2017,,Metacritic
middleo12here,#N/A,,,Middle of Nowhere (2012),Middle of Nowhere (2012),2012,Middle of Nowhere,2012,2012,October,12,10/12/2012,Friday,41,236806,247161.0223,1148,6.5,75,,AFFRM,25,R,200000,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67909,70878.51601,6,1000012101,http://www.boxofficemojo.com/movies/?id=middleofnowhere(2012).htm,http://www.metacritic.com/movie/middle-of-nowhere,6/14/2017,1.043727871,Metacritic
middles16life,#N/A,,,Middle School: The Worst Years of My Life,Middle School: The Worst Years of My Life,2016,Middle School: The Worst Years of My Life,2016,2016,October,7,10/7/2016,Friday,41,20007149,19982567.24,3673,6.1,51,446,LGF,2822,PG,8500000,USA,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6878437,6869985.818,2822,122101,http://www.boxofficemojo.com/movies/?id=middleschooltheworstyearsofmylife.htm,http://www.metacritic.com/movie/middle school: the worst years of my life,5/9/2017,0.998771351,Metacritic
middona07guru,#N/A,,,Midnight Eagle,Midnight Eagle,2007,Middonaito îguru,2007,2007,November,23,11/23/2007,Friday,47,7116,8174.206083,111,4.8,42,381,Strand,3,,-1,Japan,Japanese,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2543,2921.164428,2,1210001,http://www.boxofficemojo.com/movies/?id=midnighteagle.htm,http://www.metacritic.com/movie/midnight eagle,5/9/2017,1.148707994,Metacritic
midgetz13over,#N/A,,,Midget Zombie Takeover,Midget Zombie Takeover,2013,Midget Zombie Takeover,2013,2013,February,8,2/8/2013,Friday,6,10604,11027.21728,47,6.2,,,DWOES,3,,2000,USA,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2755,2864.955075,1,20..010004,http://www.boxofficemojo.com/movies/?id=midgetzombietakeover.htm,http://www.metacritic.com/movie/midget zombie takeover,6/14/2017,1.039911098,Metacritic
midnigh11aris,3,1605783,http://www.imdb.com/title/tt1605783/,Midnight in Paris,Midnight in Paris,2011,Midnight in Paris,2011,2011,May,20,5/20/2011,Friday,20,56817045,60706363.88,319282,7.7,81,35,SPC,1038,PG-13,17000000,Spain,English,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,599003,640006.7812,6,2311,http://www.boxofficemojo.com/movies/?id=midnightinparis.htm,http://www.metacritic.com/movie/midnight in paris,5/9/2017,1.068453382,Metacritic
midnigh12dren,#N/A,,,Midnight's Children,Midnight's Children,2013,Midnight's Children,2012,2013,April,26,4/26/2013,Friday,17,190022,197295.8079,2386,6.2,56,336,P/108,17,,-1,Canada,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12200,12667.00096,2,122100,http://www.boxofficemojo.com/movies/?id=midnightschildren.htm,http://www.metacritic.com/movie/midnight's children,5/9/2017,1.038278767,Metacritic
midnigh16cial,1,2649554,http://www.imdb.com/title/tt2649554/,Midnight Special,Midnight Special,2016,Midnight Special,2016,2016,March,18,3/18/2016,Friday,12,3712282,3763726.286,54086,6.7,76,102,WB,521,PG-13,18000000,USA,English,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,190012,192645.1598,5,122100,http://www.boxofficemojo.com/movies/?id=midnightspecial.htm,http://www.metacritic.com/movie/midnight special,5/9/2017,1.01385786,Metacritic
