key,title,metatitle,metayear,imdbtitle,imdbyear,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,nGenres,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,boxofficemojo_url,metacritic_url,meta_retrieved,cpimultiplier,sourcedataset
drunkwe15ding,Drunk Wedding,Drunk Wedding,2015,Drunk Wedding,2015,2015,May,22,5/22/2015,Friday,21,3301,3351.34682618111,534,4.6, , ,PARAIN,16,R,-1,USA,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3301,3351.34682618111,16,1001111000,http://www.boxofficemojo.com/movies/?id=drunkwedding.htm,http://www.metacritic.com/movie/drunk wedding,6/12/2017,1.01525199217847,Metacritic
dryland10land,The Dry Land,The Dry Land,2010,The Dry Land,2010,2010,July,30,7/30/2010,Friday,31,11777,13042.2073381618,448,5.6,47,319,Free,5,R,1000000,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7351,8140.72056914559,5,0000111001,http://www.boxofficemojo.com/movies/?id=thedryland.htm,http://www.metacritic.com/movie/the dry land,5/9/2017,1.10743035901858,Metacritic
dtrain15rain,The D Train,The D Train,2015,The D Train,2015,2015,May,8,5/8/2015,Friday,19,673151,683417.893786926,8664,5,55,395,IFC,1009,R,3000000,UK,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,447661,454488.722070604,1009,0001221000,http://www.boxofficemojo.com/movies/?id=thedtrain.htm,http://www.metacritic.com/movie/the d train,5/9/2017,1.01525199217847,Metacritic
duaneho05wood,Duane Hopwood,Duane Hopwood,2005,Duane Hopwood,2005,2005,November,11,11/11/2005,Friday,45,13510,16506.8133603239,2105,6.7,53,337,IFC,3,R,-1,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2519,3077.76927125506,1,0000012101,http://www.boxofficemojo.com/movies/?id=duanehopwood.htm,http://www.metacritic.com/movie/duane hopwood,5/9/2017,1.22182186234818,Metacritic
duchess08hess,The Duchess,The Duchess,2008,The Duchess,2008,2008,September,19,9/19/2008,Friday,38,13848978,15282661.1596696,64918,6.9,62,167,ParV,1207,PG-13,17764022,UK,English,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,190426,210139.407687069,7,0000013100,http://www.boxofficemojo.com/movies/?id=theduchess.htm,http://www.metacritic.com/movie/the duchess,5/9/2017,1.10352266858028,Metacritic
duck05duck,Duck,Duck,2007,Duck,2005,2007,May,11,5/11/2007,Friday,19, , ,256,6,53,294,RBra.,5,PG-13,300000,USA,English,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , ,0000110112,http://www.boxofficemojo.com/movies/?id=duck.htm,http://www.metacritic.com/movie/duck,5/9/2017,1.16101544128608,Metacritic
"dude,wh00car?","Dude, Where's My Car?","Dude, Where's My Car?",2000,"Dude, Where's My Car?",2000,2000,December,15,12/15/2000,Friday,50,46729800,64839477.4344828,120144,5.5,30,314,Fox,2100,PG-13,13000000,USA,English,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,13845914,19211762.6945287,2087,0001121000,http://www.boxofficemojo.com/movies/?id=dudewheresmycar?.htm,"http://www.metacritic.com/movie/dude, where's my car?",5/9/2017,1.38754022988506,Metacritic
duedate10date,Due Date,Due Date,2010,Due Date,2010,2010,November,5,11/5/2010,Friday,45,100539043,110936971.748907,282501,6.6,51,286,WB,3365,R,65000000,USA,English,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32689406,36070203.1937039,3355,0000123100,http://www.boxofficemojo.com/movies/?id=duedate.htm,http://www.metacritic.com/movie/due date,5/9/2017,1.10342179951829,Metacritic
duelyan16yant,The Duelist,The Duelist,2016,Duelyant,2016,2016,December,2,12/2/2016,Friday,49,13450,13450,1534,6.4,55,405,Sony,10,R,-1,Russia,Russian,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7576,7576,10,0000022101,http://www.boxofficemojo.com/movies/?id=theduelist.htm,http://www.metacritic.com/movie/the duelist,5/9/2017,1,Metacritic
duets00uets,Duets,Duets,2000,Duets,2000,2000,September,15,9/15/2000,Friday,37,4739023,6586941.85915947,8435,6,40,267,BV,583,R,15000000,USA,English,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2002588,2783470.50095567,581,0000122100,http://www.boxofficemojo.com/movies/?id=duets.htm,http://www.metacritic.com/movie/duets,5/9/2017,1.38993667242372,Metacritic
duff15duff,The DUFF,The DUFF,2015,The DUFF,2015,2015,February,20,2/20/2015,Friday,8,34030343,35003168.7322705,57598,6.5,56,380,LGF,2622,PG-13,8500000,USA,English,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10809149,11118150.2431302,2575,0000122101,http://www.boxofficemojo.com/movies/?id=theduff.htm,http://www.metacritic.com/movie/the duff,5/9/2017,1.02858700931314,Metacritic
dukeofb14undy,The Duke of Burgundy,The Duke of Burgundy,2015,The Duke of Burgundy,2014,2015,January,23,1/23/2015,Friday,4,64521,66653.6906126047,8440,6.6,87,23,IFC,10, ,1000000,UK,English,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11902,12295.4111943587,3,0000012200,http://www.boxofficemojo.com/movies/?id=thedukeofburgundy.htm,http://www.metacritic.com/movie/the duke of burgundy,5/9/2017,1.0330542089026,Metacritic
