key,title,releaseyear,opening_date,releasemonth,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,studio,totaltheaters,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metatitle,metayear,imdbtitle,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
eyeofth99lder,Eye of the Beholder,2000,1/28/2000,January,Friday,4,16500786,23600816.146635,13563,4.9,29,R,35000000,Canada,English,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Dest.,1751,5959447,8523703.83947865,1751,1001111000,Eye of the Beholder,2000,Eye of the Beholder,1999,1.43028436018957,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
grizzly99alls,Grizzly Falls,2000,1/28/2000,January,Friday,4,168874,241537.841042653,472,5.9,34,R,-1,UK,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Prov.,96,65802,94115.5714691941,96,0000121000,Grizzly Falls,2000,Grizzly Falls,1999,1.43028436018957,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
isn'tsh00reat,Isn't She Great,2000,1/28/2000,January,Friday,4,2962465,4237167.35710899,2024,5.4,34,R,44000000,USA,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Uni.,750,1368705,1957637.35521327,750,0001111000,Isn't She Great,2000,Isn't She Great,2000,1.43028436018957,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
restaur98rant,Restaurant,2000,1/28/2000,January,Friday,4,75232,107603.152985782,506,6.2,62,R,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PEC,24,11750,16805.8412322274,24,0000121001,Restaurant,2000,Restaurant,1998,1.43028436018957,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
santito99itos,Santitos,2000,1/28/2000,January,Friday,4,243000,347559.099526066,478,6.7,68,R,-1,Mexico,Spanish,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Latin,95,85000,121574.170616113,95,0000012111,Santitos,2000,Santitos,1999,1.43028436018957,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
gunshy00nshy,Gun Shy,2000,2/4/2000,February,Friday,5,1638202,2329295.55514723,6095,5.7,42,R,10000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,BV,296,703109,999723.274958775,296,0001121100,Gun Shy,2000,Gun Shy,2000,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
knockou00outi,Knockout,2000,2/4/2000,February,Friday,5,169503,241009.707279152,151,4,25,PG-13,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,IA,110,88000,125123.769140165,110,2110001001,Knockout,2000,Knockout,2000,1.42186101295642,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
scream300eam3,Scream 3,2000,2/4/2000,February,Friday,5,89143175,126749205.103651,102997,5.5,56,R,40000000,USA,English,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Dim.,3467,34713342,49357547.6192226,3467,0001221000,Scream 3,2000,Scream 3,2000,1.42186101295642,Metacritic,More than $100 million,"More than 100,000 votes",Dump month
beachi00achi,The Beach,2000,2/11/2000,February,Friday,6,39785027,56568778.7907185,186487,6.6,43,R,50000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,Fox,2587,15277921,21723080.2289281,2547,0000022100,The Beach,2000,The Beach,2000,1.42186101295642,Metacritic,$10-100 million,"More than 100,000 votes",Dump month
snowday00wday,Snow Day,2000,2/11/2000,February,Friday,6,60020107,85340250.1367727,9816,5,34,PG,13000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Par.,2717,14331819,20377854.6808481,2664,0001211000,Snow Day,2000,Snow Day,2000,1.42186101295642,Metacritic,$10-100 million,"1,001-10,000 votes",Dump month
