key,title,metatitle,imdbtitle,releaseyear,releasemonth,releaseday,opening_date,releaseweekday,releaseweeknumber,totalgross,adjustedgross,nVotes,imdbrating,metascore,rank_in_year,studio,totaltheaters,mpaa,budget,country,language,Western,History,Documentary,Musical,War,Biography,RealityTV,Drama,Animation,Music,Mystery,Crime,Thriller,News,SciFi,Action,Sport,Comedy,Romance,Adventure,Family,TalkShow,Horror,openinggross,adjustedopeninggross,openingtheaters,vote_distribution,metayear,imdbyear,cpimultiplier,sourcedataset,adjustedgrossbinned,nvotes_binned,dumpmonth
isn'tsh00reat,Isn't She Great,Isn't She Great,Isn't She Great,2000,January,28,1/28/2000,Friday,4,2962465,4237167.35710899,2024,5.4,34,298,Uni.,750,R,44000000,USA,English,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1368705,1957637.35521327,750,0001111000,2000,2000,1.43028436018957,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
restaur98rant,Restaurant,Restaurant,Restaurant,2000,January,28,1/28/2000,Friday,4,75232,107603.152985782,506,6.2,62,138,PEC,24,R,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11750,16805.8412322274,24,0000121001,2000,1998,1.43028436018957,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
santito99itos,Santitos,Santitos,Santitos,2000,January,28,1/28/2000,Friday,4,243000,347559.099526066,478,6.7,68,107,Latin,95,R,-1,Mexico,Spanish,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,85000,121574.170616113,95,0000012111,2000,1999,1.43028436018957,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
gunshy00nshy,Gun Shy,Gun Shy,Gun Shy,2000,February,4,2/4/2000,Friday,5,1638202,2329295.55514723,6095,5.7,42,258,BV,296,R,10000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,703109,999723.274958775,296,0001121100,2000,2000,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
knockou00outi,Knockout,Knockout,Knockout,2000,February,4,2/4/2000,Friday,5,169503,241009.707279152,151,4,25,333,IA,110,PG-13,-1,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,88000,125123.769140165,110,2110001001,2000,2000,1.42186101295642,Metacritic,"$100,000 to $10 million","101-1,000 votes",Dump month
scream300eam3,Scream 3,Scream 3,Scream 3,2000,February,4,2/4/2000,Friday,5,89143175,126749205.103651,102997,5.5,56,172,Dim.,3467,R,40000000,USA,English,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,34713342,49357547.6192226,3467,0001221000,2000,2000,1.42186101295642,Metacritic,More than $100 million,"More than 100,000 votes",Dump month
beachi00achi,The Beach,The Beach,The Beach,2000,February,11,2/11/2000,Friday,6,39785027,56568778.7907185,186487,6.6,43,252,Fox,2587,R,50000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,15277921,21723080.2289281,2547,0000022100,2000,2000,1.42186101295642,Metacritic,$10-100 million,"More than 100,000 votes",Dump month
snowday00wday,Snow Day,Snow Day,Snow Day,2000,February,11,2/11/2000,Friday,6,60020107,85340250.1367727,9816,5,34,300,Par.,2717,PG,13000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,14331819,20377854.6808481,2664,0001211000,2000,2000,1.42186101295642,Metacritic,$10-100 million,"1,001-10,000 votes",Dump month
tiggerm00ovie,The Tigger Movie,The Tigger Movie,The Tigger Movie,2000,February,11,2/11/2000,Friday,6,45554533,64772214.4361366,13948,6.3,53,190,BV,2818, ,30000000,USA,English,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9427532,13404640.1991991,2723,0000122100,2000,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
beautif99ople,Beautiful People,Beautiful People,Beautiful People,2000,February,18,2/18/2000,Friday,7,264292,375786.490836278,2237,6.7,79,26,Trim.,26,R,-1,UK,English,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13987,19887.5699882214,1,0000012210,2000,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
boilerr00room,Boiler Room,Boiler Room,Boiler Room,2000,February,18,2/18/2000,Friday,7,16970581,24129807.491119,42907,7,63,128,NL,1335,R,7000000,USA,English,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5742129,8164509.35646643,1335,0000013200,2000,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
hanging00ngup,Hanging Up,Hanging Up,Hanging Up,2000,February,18,2/18/2000,Friday,7,36050230,51258416.5451119,10477,4.7,33,303,Sony,2618,PG-13,60000000,Germany,English,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13567978,19291778.9428504,2618,0011210000,2000,2000,1.42186101295642,Metacritic,$10-100 million,"10,001-100,000 votes",Dump month
kadosh99dosh,Kadosh,Kadosh,Kadosh,2000,February,18,2/18/2000,Friday,7,736812,1047644.25667845,1586,6.8,70,94,Kino,16, ,-1,Israel,Hebrew,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46204,65695.6662426384,12,0000012200,2000,1999,1.42186101295642,Metacritic,"$100,000 to $10 million","1,001-10,000 votes",Dump month
pitchbl00lack,Pitch Black,Pitch Black,Pitch Black,2000,February,18,2/18/2000,Friday,7,39240659,55794763.1548174,200239,7.1,49,214,USA,1930,R,23000000,USA,English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11577688,16461863.1873734,1832,0000013200,2000,2000,1.42186101295642,Metacritic,$10-100 million,"More than 100,000 votes",Dump month
