key,originalorder,title,studio,totalgross,totaltheaters,openinggross,openingtheaters,opening_year,opening_month,opening_day,boxofficemojo_url
modigli04iani,5195,Modigliani,BMD,"$205,165",9,"$32,360",8,2005,5,13,http://www.boxofficemojo.com/movies/?id=modigliani.htm
moebius13useu,5196,Moebius,FM,"$2,340",1,$876,1,2014,8,1,http://www.boxofficemojo.com/movies/?id=moebius.htm
moguls05guls,7530,The Amateurs,First,"$16,334",4,"$10,149",3,2007,12,7,http://www.boxofficemojo.com/movies/?id=theamateurs.htm
mohabba00tein,5197,Mohabbatein,Yash,"$1,070,000",53,"$570,000",53,2000,10,27,http://www.boxofficemojo.com/movies/?id=mohabbatein.htm
mohenjo16daro,5198,Mohenjo Daro,UTV,"$1,264,339",246,"$747,791",246,2016,8,12,http://www.boxofficemojo.com/movies/?id=mohenjodaro.htm
mojave15jave,5199,Mojave,A24,"$8,253",26,"$3,303",26,2016,1,22,http://www.boxofficemojo.com/movies/?id=mojave.htm
mojing14jing,7486,That Demon Within,CL,"$172,343",16,"$77,130",12,2014,4,18,http://www.boxofficemojo.com/movies/?id=thatdemonwithin.htm
moliere07iere,5201,Moliere,SPC,"$635,733",40,"$32,601",6,2007,7,27,http://www.boxofficemojo.com/movies/?id=moliere.htm
momenti13enti,8510,The Moment,Da.,,,,,2014,6,6,http://www.boxofficemojo.com/movies/?id=themoment.htm
momentu15tumi,5202,Momentum,SM,,,,,2015,10,16,http://www.boxofficemojo.com/movies/?id=momentum.htm
momma's08sman,5203,Momma's Man,Kino,"$100,435",9,"$11,072",1,2008,8,22,http://www.boxofficemojo.com/movies/?id=mommasman.htm
mommyi14mmyi,5204,Mommy,RAtt.,"$3,494,070",83,"$473,882",62,2014,9,19,http://www.boxofficemojo.com/movies/?id=mommy.htm
momoeno11gami,251,A Letter to Momo,GK,"$71,712",7,"$4,596",1,2014,7,23,http://www.boxofficemojo.com/movies/?id=alettertomomo.htm
moms'ni14tout,5205,Moms' Night Out,TriS,"$10,429,707","1,046","$4,311,083","1,044",2014,5,9,http://www.boxofficemojo.com/movies/?id=momsnightout.htm
monalis03mile,5206,Mona Lisa Smile,SonR,"$63,860,942","2,714","$11,528,498","2,677",2003,12,19,http://www.boxofficemojo.com/movies/?id=monalisasmile.htm
monamie14oria,5372,My Friend Victoria,Zeit.,,1,,1,2015,12,4,http://www.boxofficemojo.com/movies/?id=myfriendvictoria.htm
mondovi04vino,5208,Mondovino,Think,"$209,618",8,"$9,840",1,2005,3,23,http://www.boxofficemojo.com/movies/?id=mondovino.htm
moneyba11ball,5211,Moneyball,Sony,"$75,605,492","3,018","$19,501,302","2,993",2011,9,23,http://www.boxofficemojo.com/movies/?id=moneyball.htm
moneyfo13erve,5209,Money for Nothing: Inside the Federal Reserve,LibSt.,"$88,045",5,,,2013,9,6,http://www.boxofficemojo.com/movies/?id=moneyfornothinginsidethefederalreserve.htm
moneymo16ster,5210,Money Monster,TriS,"$41,012,075","3,104","$14,788,157","3,104",2016,5,13,http://www.boxofficemojo.com/movies/?id=moneymonster.htm
mongol07ngol,5212,Mongol,PicH,"$5,705,761",253,"$135,326",5,2008,6,6,http://www.boxofficemojo.com/movies/?id=mongol.htm
monical04ille,5214,Monica la mitraille,All.,"$1,435,015",99,"$323,752",99,2004,4,30,http://www.boxofficemojo.com/movies/?id=monicalamitraille.htm
monkeyb01bone,5219,Monkeybone,Fox,"$5,411,999","1,748","$2,685,078","1,722",2001,2,23,http://www.boxofficemojo.com/movies/?id=monkeybone.htm
monkeyk15gdom,5216,Monkey Kingdom,BV,"$16,432,322","2,012","$4,577,861","2,012",2015,4,17,http://www.boxofficemojo.com/movies/?id=monkeykingdom.htm
monkeyu16eyup,5217,Monkey Up,Air Bud,,48,,48,2016,1,22,http://www.boxofficemojo.com/movies/?id=monkeyup.htm
monkeyw06fare,5218,Monkey Warfare,All.,"$36,875",3,"$1,366",1,2006,12,8,http://www.boxofficemojo.com/movies/?id=monkeywarfare.htm
monkwit14mera,5215,Monk With a Camera,KL,"$45,938",4,,,2014,11,21,http://www.boxofficemojo.com/movies/?id=monkwithacamera.htm
monmeil06amii,5350,My Best Friend,IFC,"$1,426,784",63,"$45,246",3,2007,7,13,http://www.boxofficemojo.com/movies/?id=mybestfriend.htm
monogam10gamy,5220,Monogamy,Osci.,"$21,527",5,"$4,476",1,2011,3,11,http://www.boxofficemojo.com/movies/?id=monogamy.htm
monpire11emar,5406,My Worst Nightmare,Strand,"$21,952",4,"$1,142",1,2012,10,19,http://www.boxofficemojo.com/movies/?id=myworstnightmare.htm
monroi15nroi,5377,My King (Mon roi),FM,"$54,114",11,"$6,273",1,2016,8,12,http://www.boxofficemojo.com/movies/?id=myking(monroi).htm
monsieu03oran,5221,Monsieur Ibrahim,SPC,"$2,823,890",92,"$53,174",7,2003,12,3,http://www.boxofficemojo.com/movies/?id=monsieuribrahim.htm
monsieu03urn.,5223,Monsieur N.,Emp.,"$37,757",5,"$1,747",1,2005,1,22,http://www.boxofficemojo.com/movies/?id=monsieurn..htm
monsieu11zhar,5222,Monsieur Lazhar (U.S.-only),MBox,"$2,009,517",86,"$112,190",19,2012,4,13,http://www.boxofficemojo.com/movies/?id=monsieurlazhar(u.s.-only).htm
monsoon01ding,5224,Monsoon Wedding,USA,"$13,885,966",254,"$68,546",2,2002,2,22,http://www.boxofficemojo.com/movies/?id=monsoonwedding.htm
monster01ball,5231,Monster's Ball,Lions,"$31,273,922",714,"$110,552",7,2001,12,26,http://www.boxofficemojo.com/movies/?id=monstersball.htm
monster01inc.,5234,"Monsters, Inc.",BV,"$255,873,250","3,649","$62,577,067","3,237",2001,11,2,http://www.boxofficemojo.com/movies/?id=monstersinc..htm
monster03ster,5225,Monster,NM,"$34,469,210","1,093","$86,831",4,2003,12,24,http://www.boxofficemojo.com/movies/?id=monster.htm
monster05-law,5229,Monster-in-Law,NL,"$82,931,301","3,424","$23,105,133","3,424",2005,5,13,http://www.boxofficemojo.com/movies/?id=monster-in-law.htm
monster06ouse,5227,Monster House,Sony,"$73,661,010","3,553","$22,217,226","3,553",2006,7,21,http://www.boxofficemojo.com/movies/?id=monsterhouse.htm
monster09arty,5226,Monster Beach Party,Indic.,"$112,791",8,"$3,730",2,2009,4,10,http://www.boxofficemojo.com/movies/?id=monsterbeachparty.htm
